COURSE PER BUILDING REPORT,,,,,,,,
UNIVERSITY OF SAN CARLOS,,,,,,,,
PERIOD: 2nd SEMESTER SY 2018 - 2019,,,,,,,,
,,,,,,,,
COURSE TITLE,COURSE DESCRIPTION,GROUP #,ENROLLED STUDENTS,,COURSE STATUS,SCHEDULE,,
HIST 15,EARLY & MODERN PHILIPPINE HISTORY,1,27,,REGULAR,MWF (08:30 AM) - (09:30 AM) AF3B02              ,,
HIST 15,EARLY & MODERN PHILIPPINE HISTORY,3,39,,REGULAR,TTh (03:00 PM) - (04:30 PM) AF3B02              ,,
HIST 15,EARLY & MODERN PHILIPPINE HISTORY,5,35,,REGULAR,MWF (02:30 PM) - (03:30 PM) AF3B02              ,,
HIST 17,RIZAL COURSE,1,41,,REGULAR,MWF (01:30 PM) - (02:30 PM) AF3B02              ,,
HIST 17,RIZAL COURSE,3,39,,REGULAR,TTh (10:30 AM) - (12:00 PM) AF3B01              ,,
HIST 17,RIZAL COURSE,4,38,,REGULAR,TTh (09:00 AM) - (10:30 AM) CB3                 ,,
ID,INTERIOR DESIGN,1,10,,REGULAR,Sat (08:30 AM) - (03:30 PM) AF308TC             ,,
ID 210,METHODS OF RESEARCH,1,40,,REGULAR,TTh (03:00 PM) - (04:30 PM) AF101               ,,
ID 311,INTERIOR DESIGN 3A,1,14,,PETITION,MW (04:30 PM) - (08:30 PM) AF305               ,,
ID 312X,MATERIALS & RESOURCES 1,1,4,,TUTORIAL,Th (08:30 AM) - (01:30 PM) 1B10c               ,,
ID 314X,HISTORY OF WESTERN ART,1,21,,PETITION,MW (08:30 AM) - (10:00 AM) 1B12F1              ,,
ID 315,INTERIOR CONSTRUCTION DETAILING 1,1,9,,PETITION,T (08:30 AM) - (01:30 PM) 1B10c               ,,
ID 316,THEORY OF DESIGN,1,11,,PETITION,MW (10:30 AM) - (11:30 AM) AF208               ,,
ID 321,INTERIOR DESIGN 3B,1,35,,REGULAR,MW (08:30 AM) - (12:30 PM) AF307TC             ,,
ID 321,INTERIOR DESIGN 3B,2,36,,REGULAR,MW (12:30 PM) - (04:30 PM) AF307TC             ,,
ID 322,MATERIALS AND RESOURCES 2,1,28,,REGULAR,T (08:30 AM) - (01:30 PM) 1B12F1              ,,
ID 322,MATERIALS AND RESOURCES 2,2,25,,REGULAR,Th (08:30 AM) - (01:30 PM) 1B12F1              ,,
ID 323,INTERIOR PLANTSCAPING & FLOWER ARRANGEMENT,1,2,,TUTORIAL,TTh (05:30 PM) - (08:00 PM) AF101               ,,
ID 325,INTERIOR CONSTRUCTION DETAILING 2,1,33,,REGULAR,Th (08:30 AM) - (01:30 PM) AF307TC             ,,
ID 325,INTERIOR CONSTRUCTION DETAILING 2,2,23,,REGULAR,T (08:30 AM) - (01:30 PM) AF307TC             ,,
ID 412X,"CONTRACTS, SPECS, ETHICS",1,8,,PETITION,MW (04:30 PM) - (06:00 PM) 1B12F1              ,,
ID 414X,LITURGICAL ARTS,1,3,,TUTORIAL,TTh (04:30 PM) - (05:30 PM) 1B12F1              ,,
ID 415N,COSTUME AND FASHION DESIGN,1,5,,TUTORIAL,Sat (01:30 PM) - (05:30 PM) 1B12F1              ,,
ID 421,INTERIOR DESIGN 4B,1,27,,REGULAR,MW (12:30 PM) - (04:30 PM) 1B12E               ,,
ID 421,INTERIOR DESIGN 4B,2,26,,REGULAR,MW (12:30 PM) - (04:30 PM) 1B12F1              ,,
ID 422,BUSINESS MGMT. & PUBLIC RELATIONS IN INTERIOR DESIGN,1,0,,DISSOLVED,TTh (05:30 PM) - (06:30 PM) AF101               ,,
ID 422,BUSINESS MGMT. & PUBLIC RELATIONS IN INTERIOR DESIGN,2,41,,REGULAR,TTh (04:30 PM) - (05:30 PM) AF101               ,,
ID 424,ART OF DISPLAY,1,25,,REGULAR,F (01:30 PM) - (05:30 PM) 1B12F1              ,,
ID 424,ART OF DISPLAY,2,23,,REGULAR,F (08:30 AM) - (12:30 PM) 1B12F1              ,,
ID-CAD 2,COMPUTER AIDED DESIGN 2,1,7,,PETITION,F (08:30 AM) - (01:30 PM) AF111               ,,
LANDSCAPE,LANDSCAPE ARCHITECTURE,1,44,,REGULAR,TTh (09:00 AM) - (10:00 AM) AF101               ,,
LANDSCAPE,LANDSCAPE ARCHITECTURE,2,46,,REGULAR,MW (01:30 PM) - (02:30 PM) AF102               ,,
LARC 199.1,LANDSCAPE DESIGN RESEARCH,1,10,,REGULAR,TTh (08:00 AM) - (12:00 PM) 1B12d               ,,
LARC 199.2,SPECIAL PROJECTS IN LANDSCAPE ARCHITECTURE,1,20,,REGULAR,MW (08:00 AM) - (12:00 PM) 1B12c               ,,
LARCH 135,PLANTING DESIGN,1,1,,TUTORIAL,TTh (04:30 PM) - (07:00 PM) 1B12E               ,,
LARCH 146,TROPICAL LANDSCAPE MAINTENANCE & MANAGEMENT,1,13,,REGULAR,TTh (01:30 PM) - (03:00 PM) AF305               ,,
LARCH 147,REGIONAL LANDSCAPE TECHNOLOGY,1,19,,REGULAR,TTh (09:30 AM) - (12:00 PM) 1B12c               ,,
LARCH 148,PARKS AND RECREATION,1,9,,REGULAR,TTh (01:30 PM) - (04:00 PM) 1B12d               ,,
LARCH 16,LANDSCAPE DESIGN 6,1,4,,TUTORIAL,FSat (01:30 PM) - (05:30 PM) 1B12E               ,,
LIT 1,LITERATURES  OF THE PHILIPPINES,1,38,,REGULAR,MWF (12:30 PM) - (01:30 PM) AF101               ,,
